"ID","ISDELETED","MASTERRECORDID","NAME","TYPE","PARENTID","BILLINGSTREET","BILLINGCITY","BILLINGSTATE","BILLINGPOSTALCODE","BILLINGCOUNTRY","BILLINGLATITUDE","BILLINGLONGITUDE","BILLINGGEOCODEACCURACY","SHIPPINGSTREET","SHIPPINGCITY","SHIPPINGSTATE","SHIPPINGPOSTALCODE","SHIPPINGCOUNTRY","SHIPPINGLATITUDE","SHIPPINGLONGITUDE","SHIPPINGGEOCODEACCURACY","PHONE","FAX","ACCOUNTNUMBER","WEBSITE","PHOTOURL","SIC","INDUSTRY","ANNUALREVENUE","NUMBEROFEMPLOYEES","OWNERSHIP","TICKERSYMBOL","DESCRIPTION","RATING","SITE","OWNERID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","LASTACTIVITYDATE","LASTVIEWEDDATE","LASTREFERENCEDDATE","JIGSAW","JIGSAWCOMPANYID","CLEANSTATUS","ACCOUNTSOURCE","DUNSNUMBER","TRADESTYLE","NAICSCODE","NAICSDESC","YEARSTARTED","SICDESC","DANDBCOMPANYID","OPERATINGHOURSID","CUSTOMERPRIORITY__C","SLA__C","ACTIVE__C","NUMBEROFLOCATIONS__C","UPSELLOPPORTUNITY__C","SLASERIALNUMBER__C","SLAEXPIRATIONDATE__C","AREA_CODE__C"
"001NS000019frMDYAY",0,,"GenePoint","Customer - Channel",,"345 Shoreline Park
Mountain View, CA 94043
USA","Mountain View","CA",,"United States",,,,"345 Shoreline Park
Mountain View, CA 94043
USA",,,,,,,,"(650) 867-3450","(650) 867-9895","CC978213","www.genepoint.com","/services/images/photo/001NS000019frMDYAY","3712","Biotechnology",30000000,265,"Private",,"Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs","Cold",,"005NS00000IzjqfYAB","03/24/2025 19:42:48","005NS00000IzjqfYAB","03/24/2025 19:42:48","005NS00000IzjqfYAB","03/28/2025 07:15:23",,,,,,"Pending",,,,,,,,,,"Low","Bronze","Yes",1.0,"Yes","7324","10/18/2025 00:00:00",
"001NS000019frMEYAY",0,,"sForce",,,"The Landmark @ One Market","San Francisco","CA","94087","US",,,,,,,,,,,,"(415) 901-7000","(415) 901-7002",,"www.sforce.com","/services/images/photo/001NS000019frMEYAY",,,,,,,,,,"005NS00000IzjqfYAB","03/24/2025 19:42:48","005NS00000IzjqfYAB","03/24/2025 19:42:48","005NS00000IzjqfYAB","03/28/2025 07:15:23",,,,,,"Pending",,,,,,,,,,,,,,,,,
"001NS000019frMFYAY",0,,"Sample Account for Entitlements",,,,,,,,,,,,,,,,,,,,,,,"/services/images/photo/001NS000019frMFYAY",,,,,,,,,,"005NS00000IzkwQYAR","03/24/2025 19:42:48","005NS00000IzkwQYAR","03/24/2025 19:42:48","005NS00000IzkwQYAR","03/24/2025 19:42:48",,,,,,"Pending",,,,,,,,,,,,,,,,,
"001NS00001BvIqzYAF",0,,"Smith's Interiors","Customer - Direct",,"9 Roszel Road","Princeton","AA","18540","USA",,,,,,,,,,,,"212555-3324",,,,"/services/images/photo/001NS00001BvIqzYAF",,,,,,,,,,"005NS00000J7NjJYAV","04/08/2025 23:56:16","005NS00000J7NjJYAV","04/08/2025 23:56:16","005NS00000J7NjJYAV","04/08/2025 23:56:16",,,,,,"Pending",,,,,,,,,,,,,,,,,
"001NS00001BvIr0YAF",0,,"ABC Repairs","Customer - Direct",,"6620 W. Broad St.","Richmond","VA","23230","USA",,,,,,,,,,,,"310446-0098",,,,"/services/images/photo/001NS00001BvIr0YAF",,,,,,,,,,"005NS00000J7NjJYAV","04/08/2025 23:56:16","005NS00000J7NjJYAV","04/08/2025 23:56:16","005NS00000J7NjJYAV","04/08/2025 23:56:16",,,,,,"Pending",,,,,,,,,,,,,,,,,
"001NS00001BvIr1YAF",0,,"Remingtons","Customer - Indirect",,"7227 W Harry St","Wichita","KS","67209","USA",,,,,,,,,,,,"625445-9987",,,,"/services/images/photo/001NS00001BvIr1YAF",,,,,,,,,,"005NS00000J7NjJYAV","04/08/2025 23:56:16","005NS00000J7NjJYAV","04/08/2025 23:56:16","005NS00000J7NjJYAV","04/08/2025 23:56:16",,,,,,"Pending",,,,,,,,,,,,,,,,,
"001NS00001BvIr2YAF",0,,"Omneon","Customer - Corporate",,"2145 Hamilton Ave","San Jose","CA","67399","USA",,,,,,,,,,,,"810345-9000",,,,"/services/images/photo/001NS00001BvIr2YAF",,,,,,,,,,"005NS00000J7NjJYAV","04/08/2025 23:56:16","005NS00000J7NjJYAV","04/08/2025 23:56:16","005NS00000J7NjJYAV","04/08/2025 23:56:16",,,,,,"Pending",,,,,,,,,,,,,,,,,
"001NS00001BvIr3YAF",0,,"ABC Carpet","Customer - Enterprise",,"6601 Hawkinsville Rd","Macon","GA","31216","USA",,,,,,,,,,,,"619551-2345",,,,"/services/images/photo/001NS00001BvIr3YAF",,,,,,,,,,"005NS00000J7NjJYAV","04/08/2025 23:56:16","005NS00000J7NjJYAV","04/08/2025 23:56:16","005NS00000J7NjJYAV","04/08/2025 23:56:16",,,,,,"Pending",,,,,,,,,,,,,,,,,
"001NS00001BvIr4YAF",0,,"Shetlands","Customer - Direct",,"95 N Moorland Rd","Brookfield","WI","53005","USA",,,,,,,,,,,,"415404-5512",,,,"/services/images/photo/001NS00001BvIr4YAF",,,,,,,,,,"005NS00000J7NjJYAV","04/08/2025 23:56:16","005NS00000J7NjJYAV","04/08/2025 23:56:16","005NS00000J7NjJYAV","04/08/2025 23:56:16",,,,,,"Pending",,,,,,,,,,,,,,,,,
"001NS00001BvIr5YAF",0,,"Mervyns","Customer - Direct",,"114 Division Ave N","Grand Rapids","MI","49503","USA",,,,,,,,,,,,"510443-5647",,,,"/services/images/photo/001NS00001BvIr5YAF",,,,,,,,,,"005NS00000J7NjJYAV","04/08/2025 23:56:16","005NS00000J7NjJYAV","04/08/2025 23:56:16","005NS00000J7NjJYAV","04/08/2025 23:56:16",,,,,,"Pending",,,,,,,,,,,,,,,,,
"001NS00001BvIr6YAF",0,,"PPG","Customer - Direct",,"651 Holiday Dr","Pittsburgh","PA","15220","USA",,,,,,,,,,,,"314889-0032",,,,"/services/images/photo/001NS00001BvIr6YAF",,,,,,,,,,"005NS00000J7NjJYAV","04/08/2025 23:56:16","005NS00000J7NjJYAV","04/08/2025 23:56:16","005NS00000J7NjJYAV","04/08/2025 23:56:16",,,,,,"Pending",,,,,,,,,,,,,,,,,
"001NS00001BvIr7YAF",0,,"Joe's","Customer - Direct",,"32 Old Slip","New York","NY","10005","USA",,,,,,,,,,,,"703332-8850",,,,"/services/images/photo/001NS00001BvIr7YAF",,,,,,,,,,"005NS00000J7NjJYAV","04/08/2025 23:56:16","005NS00000J7NjJYAV","04/08/2025 23:56:16","005NS00000J7NjJYAV","04/08/2025 23:56:16",,,,,,"Pending",,,,,,,,,,,,,,,,,
"001NS00001BvIr8YAF",0,,"Fred Seagel","Customer - Direct",,"651 Holiday Dr","Los Angeles","CA","15220","USA",,,,,,,,,,,,"818231-8700",,,,"/services/images/photo/001NS00001BvIr8YAF",,,,,,,,,,"005NS00000J7NjJYAV","04/08/2025 23:56:16","005NS00000J7NjJYAV","04/08/2025 23:56:16","005NS00000J7NjJYAV","04/08/2025 23:56:16",,,,,,"Pending",,,,,,,,,,,,,,,,,
